epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,6347.95,0.41733,0.70425,1.07028,0.75998,0.69449,0.78218,0.64084,0.61681,0.73345,1.28512,0.000464188,0.000464188,0.000464188
129,6378.85,0.42728,0.71335,1.07711,0.76388,0.75393,0.79253,0.66033,0.6136,0.71938,1.28869,0.000458,0.000458,0.000458
130,6409.98,0.41342,0.68239,1.0649,0.72389,0.76652,0.78663,0.65245,0.61851,0.74544,1.30213,0.000451813,0.000451813,0.000451813
131,6439.74,0.41954,0.70791,1.07111,0.72574,0.76614,0.79813,0.65753,0.61942,0.73418,1.29217,0.000445625,0.000445625,0.000445625
132,6469.3,0.41998,0.69962,1.07066,0.71282,0.7438,0.78692,0.64651,0.62607,0.74232,1.30874,0.000439437,0.000439437,0.000439437
133,6499.18,0.41717,0.69971,1.06816,0.73283,0.76289,0.78325,0.6474,0.63069,0.73505,1.31018,0.00043325,0.00043325,0.00043325
134,6529.15,0.41629,0.68258,1.06715,0.75611,0.71473,0.78556,0.64769,0.61756,0.74421,1.30277,0.000427062,0.000427062,0.000427062
135,6559.44,0.41668,0.67284,1.06618,0.78186,0.74088,0.79372,0.65965,0.61208,0.7307,1.29897,0.000420875,0.000420875,0.000420875
136,6589.32,0.4093,0.68221,1.06186,0.74566,0.74038,0.78693,0.64363,0.61784,0.75635,1.31677,0.000414688,0.000414688,0.000414688
137,6619.16,0.40767,0.66558,1.0595,0.79159,0.71508,0.78289,0.64461,0.60599,0.76165,1.2873,0.0004085,0.0004085,0.0004085
138,6648.43,0.41231,0.67526,1.06246,0.80112,0.69685,0.78959,0.6621,0.6101,0.73826,1.28681,0.000402312,0.000402312,0.000402312
139,6679.04,0.40807,0.66812,1.06653,0.79485,0.69196,0.78148,0.64551,0.60258,0.74732,1.27734,0.000396125,0.000396125,0.000396125
140,6708.53,0.40448,0.65824,1.05941,0.69883,0.75441,0.78132,0.65054,0.60373,0.73788,1.28277,0.000389938,0.000389938,0.000389938
141,6738.83,0.40285,0.65172,1.05421,0.77128,0.7554,0.79951,0.65939,0.61103,0.72442,1.29711,0.00038375,0.00038375,0.00038375
142,6768.8,0.40347,0.66943,1.06011,0.76636,0.75071,0.79265,0.65322,0.60735,0.72224,1.29659,0.000377563,0.000377563,0.000377563
143,6798.54,0.39746,0.63867,1.05161,0.78807,0.72877,0.78974,0.6436,0.61619,0.74439,1.30084,0.000371375,0.000371375,0.000371375
144,6828.55,0.40423,0.65768,1.05854,0.79325,0.71768,0.78162,0.64478,0.61588,0.74229,1.30398,0.000365188,0.000365188,0.000365188
145,6858.76,0.40693,0.65738,1.06778,0.75611,0.75821,0.7885,0.64584,0.62715,0.73065,1.31324,0.000359,0.000359,0.000359
146,6888.51,0.40447,0.63004,1.05892,0.77808,0.7724,0.79007,0.64398,0.62187,0.73371,1.30935,0.000352812,0.000352812,0.000352812
147,6918.02,0.3991,0.64137,1.05571,0.77412,0.75556,0.78788,0.64451,0.61045,0.73561,1.29315,0.000346625,0.000346625,0.000346625
148,6948.33,0.39792,0.63004,1.05212,0.82177,0.72988,0.79679,0.65576,0.60287,0.72436,1.28158,0.000340438,0.000340438,0.000340438
149,6978.24,0.40003,0.6431,1.053,0.85987,0.6855,0.79612,0.65105,0.60163,0.73332,1.27556,0.00033425,0.00033425,0.00033425
150,7008.12,0.40323,0.63305,1.05803,0.82499,0.68614,0.79643,0.65178,0.61155,0.72121,1.28634,0.000328063,0.000328063,0.000328063
151,7038.32,0.40248,0.63217,1.05642,0.78904,0.72441,0.79021,0.65299,0.61043,0.6961,1.28689,0.000321875,0.000321875,0.000321875
152,7068.75,0.40341,0.63274,1.05515,0.71626,0.79496,0.79615,0.6575,0.61059,0.71517,1.30427,0.000315687,0.000315687,0.000315687
153,7098.51,0.3975,0.63604,1.05249,0.74894,0.76173,0.78762,0.64762,0.60679,0.72751,1.29478,0.0003095,0.0003095,0.0003095
154,7128.17,0.39452,0.62942,1.05052,0.7682,0.74496,0.79314,0.65311,0.61549,0.72434,1.29781,0.000303313,0.000303313,0.000303313
155,7158.47,0.39686,0.61661,1.05093,0.779,0.73578,0.80411,0.669,0.61511,0.71947,1.29551,0.000297125,0.000297125,0.000297125
156,7189.31,0.38769,0.60597,1.04697,0.77645,0.74436,0.80536,0.67182,0.60849,0.72179,1.28242,0.000290937,0.000290937,0.000290937
157,7220.17,0.38856,0.6186,1.04881,0.84671,0.70256,0.80931,0.66517,0.60727,0.71785,1.28904,0.00028475,0.00028475,0.00028475
158,7250.25,0.39229,0.62258,1.05063,0.80159,0.73276,0.80298,0.65812,0.61135,0.71559,1.29902,0.000278562,0.000278562,0.000278562
159,7280.25,0.39097,0.61026,1.051,0.83938,0.73155,0.80685,0.66387,0.61163,0.72182,1.29964,0.000272375,0.000272375,0.000272375
160,7310,0.39267,0.61609,1.04973,0.76267,0.80979,0.80756,0.66495,0.61184,0.71005,1.29428,0.000266187,0.000266187,0.000266187
161,7340.85,0.39285,0.6102,1.04625,0.747,0.80504,0.81183,0.66515,0.61487,0.70264,1.29718,0.00026,0.00026,0.00026
162,7371.63,0.38782,0.60152,1.04734,0.84094,0.71046,0.81332,0.66587,0.6146,0.69959,1.29639,0.000253812,0.000253812,0.000253812
163,7402.09,0.3836,0.59895,1.04997,0.85545,0.7167,0.8142,0.66534,0.6187,0.69891,1.29974,0.000247625,0.000247625,0.000247625
164,7432.97,0.38974,0.59146,1.04554,0.75116,0.79243,0.81215,0.66064,0.61999,0.71695,1.30433,0.000241438,0.000241438,0.000241438
165,7464.14,0.37863,0.59354,1.03407,0.84922,0.70035,0.81521,0.66592,0.61836,0.69645,1.2959,0.00023525,0.00023525,0.00023525
166,7494.54,0.38299,0.61348,1.04137,0.82434,0.70531,0.80619,0.65813,0.61464,0.70486,1.29934,0.000229063,0.000229063,0.000229063
167,7524.91,0.38597,0.59385,1.04256,0.81819,0.71346,0.80726,0.65988,0.62089,0.70213,1.30774,0.000222875,0.000222875,0.000222875
168,7555.8,0.38489,0.59858,1.04229,0.77166,0.76457,0.80804,0.66243,0.62539,0.70749,1.31131,0.000216688,0.000216688,0.000216688
169,7586.47,0.37974,0.59201,1.04218,0.78194,0.76009,0.80515,0.65535,0.62391,0.71423,1.30559,0.0002105,0.0002105,0.0002105
170,7617.13,0.382,0.59142,1.04432,0.7864,0.7409,0.81099,0.66341,0.61661,0.70436,1.29654,0.000204313,0.000204313,0.000204313
171,7647.73,0.37821,0.58959,1.0385,0.74035,0.7935,0.80958,0.66599,0.61231,0.70091,1.28931,0.000198125,0.000198125,0.000198125
172,7678.34,0.38379,0.58167,1.04055,0.73341,0.81116,0.80631,0.66356,0.61799,0.70681,1.29869,0.000191938,0.000191938,0.000191938
173,7709.07,0.38208,0.573,1.04111,0.72652,0.81164,0.81166,0.67033,0.61582,0.70817,1.29449,0.00018575,0.00018575,0.00018575
174,7739.49,0.37769,0.58087,1.03615,0.81826,0.71736,0.81223,0.66963,0.62212,0.70812,1.30074,0.000179563,0.000179563,0.000179563
175,7769.88,0.37774,0.57369,1.0386,0.81942,0.73239,0.81996,0.67345,0.62356,0.70512,1.30345,0.000173375,0.000173375,0.000173375
176,7801.11,0.37003,0.55775,1.0332,0.8029,0.7528,0.82213,0.67803,0.62358,0.7021,1.30023,0.000167188,0.000167188,0.000167188
177,7832.16,0.37215,0.5673,1.03378,0.82903,0.74386,0.8206,0.67567,0.61766,0.70292,1.29378,0.000161,0.000161,0.000161
178,7862.59,0.37491,0.5787,1.03842,0.80015,0.74591,0.81616,0.67391,0.61428,0.7013,1.2895,0.000154812,0.000154812,0.000154812
179,7893.12,0.36569,0.5619,1.02968,0.8261,0.72227,0.81205,0.67246,0.61335,0.70678,1.29001,0.000148625,0.000148625,0.000148625
